"参数（num,stop_word,word_to_vector,seq_len,word_dim,num_filters,l2_num,learning_rate,dropout_conv,filter_sizes, batch_size,epoch）","结果（pre,recall,f1)"
"1000 0 Word2VecModel 50 100 100 0.001 0.001 0.5 ['1', '2', '3'] 32 50",0.7828662187485718 0.6820760457292965 0.7209429627930578
"2000 1 Word2VecModel 50 100 100 0.001 0.001 0.5 ['1', '2', '3'] 32 50",0.7845472085801921 0.6309096357455646 0.6927996664894106
"2000 0 Word2VecModel 30 100 100 0.001 0.001 0.5 ['1', '2', '3'] 32 50",0.8052419345900924 0.7472802941858838 0.7673330995080363
"1000 0 Word2VecModel 60 100 120 0.001 0.001 0.3 ['2', '3', '4'] 32 50",0.7641874791874792 0.6789863026550333 0.7040489190936319
"1000 0 Word2VecModel 30 100 120 0.001 0.001 0.3 ['2', '3', '4'] 32 50",0.7345453566041802 0.6973141409673917 0.6946142291113013
